top - 17:56:47 up 204 days,  9:44,  0 users,  load average: 24.02, 24.06, 22.04
Tasks: 886 total,  25 running, 861 sleeping,   0 stopped,   0 zombie
Cpu(s): 66.9%us,  2.0%sy,  0.0%ni, 31.0%id,  0.1%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  132170692k total, 41202688k used, 90968004k free,   226444k buffers
Swap:  9775548k total,     8848k used,  9766700k free, 29034344k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
30029 fagent    20   0 1398m  54m  37m R 101.7  0.0  38:23.08 run.x             
30033 fagent    20   0 1398m  53m  37m R 99.8  0.0  38:26.61 run.x              
30037 fagent    20   0 1398m  53m  37m R 99.8  0.0  38:25.07 run.x              
30039 fagent    20   0 1398m  53m  37m R 99.8  0.0  38:22.24 run.x              
30040 fagent    20   0 1398m  53m  37m R 99.8  0.0  38:20.67 run.x              
30042 fagent    20   0 1398m  53m  37m R 99.8  0.0  38:18.44 run.x              
30045 fagent    20   0 1398m  53m  37m R 99.8  0.0  38:24.48 run.x              
30047 fagent    20   0 1398m  53m  37m R 99.8  0.0  38:20.98 run.x              
30051 fagent    20   0 1398m  53m  37m R 99.8  0.0  38:18.60 run.x              
30030 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:22.44 run.x              
30031 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:21.81 run.x              
30032 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:19.79 run.x              
30034 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:22.46 run.x              
30035 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:21.44 run.x              
30038 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:22.45 run.x              
30041 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:22.01 run.x              
30043 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:19.20 run.x              
30044 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:18.38 run.x              
30046 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:21.26 run.x              
30048 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:19.03 run.x              
30049 fagent    20   0 1398m  54m  38m R 97.9  0.0  38:20.37 run.x              
30050 fagent    20   0 1398m  53m  37m R 97.9  0.0  38:19.75 run.x              
30052 fagent    20   0 1398m  54m  37m R 97.9  0.0  38:17.83 run.x              
30036 fagent    20   0 1398m  53m  37m R 96.0  0.0  38:19.21 run.x              
   44 root      20   0     0    0    0 S  1.9  0.0   1:14.16 ksoftirqd/13       
31688 fagent    20   0 17052 2524 1588 R  1.9  0.0   0:00.01 top                
    1 root      20   0 21404 1096  868 S  0.0  0.0   6:21.77 init               
    2 root      20   0     0    0    0 S  0.0  0.0   6:33.41 kthreadd           
    3 root      RT   0     0    0    0 S  0.0  0.0  58:11.61 migration/0        
    4 root      20   0     0    0    0 S  0.0  0.0   2:51.32 ksoftirqd/0        
    5 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/0          
    6 root      RT   0     0    0    0 S  0.0  0.0  53:48.17 migration/1        
    7 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/1          
    8 root      20   0     0    0    0 S  0.0  0.0   3:33.35 ksoftirqd/1        
    9 root      RT   0     0    0    0 S  0.0  0.0  29:09.07 migration/2        
   10 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/2          
   11 root      20   0     0    0    0 S  0.0  0.0   2:15.35 ksoftirqd/2        
   12 root      RT   0     0    0    0 S  0.0  0.0  23:00.96 migration/3        
   13 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/3          
   14 root      20   0     0    0    0 S  0.0  0.0   1:09.53 ksoftirqd/3        
   15 root      RT   0     0    0    0 S  0.0  0.0  20:03.75 migration/4        
   16 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/4          
   17 root      20   0     0    0    0 S  0.0  0.0   0:35.52 ksoftirqd/4        
   18 root      RT   0     0    0    0 S  0.0  0.0  21:17.68 migration/5        
   19 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/5          
   20 root      20   0     0    0    0 S  0.0  0.0   1:40.69 ksoftirqd/5        
   21 root      RT   0     0    0    0 S  0.0  0.0  39:59.24 migration/6        
   22 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/6          
   23 root      20   0     0    0    0 S  0.0  0.0   1:16.33 ksoftirqd/6        
   24 root      RT   0     0    0    0 S  0.0  0.0  28:14.53 migration/7        
