7928, 1.882637348883341, 0.002070587887777, 2.181692617653946e-18, 0.3159 
7.631982201529563e+01 1.000924157926283e-18 1.297162332970751e-02 7.506117448299440e-19 3.333333333333304e-01 
7.668456119082082e+01 1.005660015542981e-18 1.291052141332147e-02 7.587221640733409e-19 3.333333333333303e-01 
7.705104348710596e+01 1.010418363108524e-18 1.284970321497602e-02 7.515896043162009e-19 3.333333333333303e-01 
7.741927723467957e+01 1.015199450960670e-18 1.278918035180778e-02 7.445258069594473e-19 3.333333333333303e-01 
7.778927080388199e+01 1.020003387992031e-18 1.272896660254081e-02 7.457030309680032e-19 3.333333333333303e-01 
7.816103260505636e+01 1.024830283490647e-18 1.266903050401532e-02 7.395143164934175e-19 3.333333333333303e-01 
7.853457108873957e+01 1.029680247126457e-18 1.260937082662929e-02 7.325666155306549e-19 3.333333333333303e-01 
7.890989474585437e+01 1.034553389161718e-18 1.254998634491553e-02 7.256833480709026e-19 3.333333333333303e-01 
7.928701210790238e+01 1.039449820376868e-18 1.249087583849063e-02 7.243573542148716e-19 3.333333333333302e-01 
7.966593174715788e+01 1.044369652058770e-18 1.243203809220396e-02 7.206873856492359e-19 3.333333333333302e-01 
8.004666227686327e+01 1.049312996058674e-18 1.237347189545471e-02 7.139132778373250e-19 3.333333333333302e-01 
8.042921235142391e+01 1.054279964739806e-18 1.231517604283714e-02 7.144487221509003e-19 3.333333333333302e-01 
8.081359066660552e+01 1.059270670944098e-18 1.225714933452569e-02 7.172329289274996e-19 3.333333333333302e-01 
8.119980595973161e+01 1.064285228184817e-18 1.219939057405130e-02 7.104888736272742e-19 3.333333333333302e-01 
8.158786700988215e+01 1.069323750286967e-18 1.214189857246386e-02 7.038074400785747e-19 3.333333333333302e-01 
8.197778263809310e+01 1.074386351300479e-18 1.208467214918634e-02 6.997939752106821e-19 3.333333333333302e-01 
8.236956170755681e+01 1.079473148665516e-18 1.202771009672551e-02 7.066913253192332e-19 3.333333333333301e-01 
8.276321312382407e+01 1.084584255591899e-18 1.197101126599009e-02 7.000432587868319e-19 3.333333333333301e-01 
8.315874583500556e+01 1.089719788711744e-18 1.191459918574887e-02 6.934612778332848e-19 3.333333333333301e-01 
8.355616883197600e+01 1.094879865032750e-18 1.185846422240427e-02 6.938972931782801e-19 3.333333333333300e-01 
8.395549114857825e+01 1.100064601818729e-18 1.180258852007807e-02 6.882185811028741e-19 3.333333333333300e-01 
8.435672186182870e+01 1.105274116885342e-18 1.174697092598431e-02 6.817483355643534e-19 3.333333333333300e-01 
8.475987009212363e+01 1.110508528631920e-18 1.169161029182715e-02 6.805510630407084e-19 3.333333333333300e-01 
8.516494500344633e+01 1.115767956214963e-18 1.163650547201319e-02 6.858151846625361e-19 3.333333333333299e-01 
8.557195580357609e+01 1.121052519066154e-18 1.158165532874729e-02 6.768154960249137e-19 3.333333333333300e-01 
8.598091174429642e+01 1.126362337262694e-18 1.152705872810085e-02 6.638386581771550e-19 3.333333333333300e-01 
8.639182212160618e+01 1.131697531548838e-18 1.147271453984559e-02 6.636930873261023e-19 3.333333333333300e-01 
8.680469627593058e+01 1.137058223193784e-18 1.141862163893875e-02 6.658830616307649e-19 3.333333333333299e-01 
8.721954359233355e+01 1.142444534055983e-18 1.136477890487022e-02 6.636827441070636e-19 3.333333333333299e-01 
8.763637350073107e+01 1.147856586582687e-18 1.131118522168372e-02 6.645360709245529e-19 3.333333333333299e-01 
8.805519547610537e+01 1.153294503768848e-18 1.125783947839172e-02 6.493747769414642e-19 3.333333333333299e-01 
