  4470 vectors within the range 119.98 120.02
   kx   ky   kz     ex   ey   ez        rk        phik
 -120   -2    0     92   77   -3     0.147312   2.500178
 -120   -1   -1     12  -44 -111    -1.273956   0.365990
 -120   -1    0     66  -21   98     1.328094   1.677170
 -120   -1    1     22   15 -117    -0.237652   0.559836
 -120    0   -2   -105    3  -58    -0.906046  -2.762603
 -120    0   -1    112  -22  -37     2.547122   2.972651
 -120    0    0   -109  -46  -20    -0.909852  -2.903528
 -120    0    1    -69  -54   82     0.478123  -1.771496
 -120    0    2    -85   43   73    -0.375762  -2.246908
 -120    1   -1    114   31  -21     0.456295   3.045477
 -120    1    0     92  -38   67    -0.496401   2.481256
 -120    1    1    107   54   -6     0.677827   2.812673
 -120    2    0     76   35   86    -0.640487   1.910583
 -119  -15   -4    -83   85   17     0.462273  -2.133865
 -119  -15    4    -72    2  -96    -1.090310  -1.833147
 -119  -11  -11     78    6  -91    -0.417601   1.998869
 -119  -11   11    -92   -2  -77    -0.826278  -2.489924
 -119   -4  -15     60   52   90    -0.960518   1.514981
 -119   -4   15   -115   -4   34     0.053823  -3.057096
 -119    4  -15    -96   65   31     0.472671  -2.538306
 -119    4   15     48 -110    0    -0.335547   1.212459
 -119   11  -11   -112  -37  -22     0.587557  -2.996485
 -119   11   11    -78   -6   91    -0.070593  -1.999982
 -119   15   -4    -99  -41  -54     1.229577  -2.652793
 -119   15    4    -57  -44  -96     0.309778  -1.449962
 -118  -21   -6    -52 -108   -6     0.132451  -1.340869
 -118  -21    6     57   50  -93     0.082463   1.451180
 -118   -6  -21     56  106    5     0.443002   1.430206
 -118   -6   21    -57   96   44     0.065845  -1.431318
 -118    6  -21     -3  -58  105    -0.674289  -0.113537
 -118    6   21      6   91  -78    -0.728353   0.241907
 -118   21   -6    -81   21   86    -2.059181  -2.086136
 -118   21    6    109  -29   41     1.182843   2.872037
 -117  -26   -6     52  108    6     0.737637   1.340350
 -117  -26    6      2   92   77    -1.696035   0.085255
 -117  -22  -15     72  -36   89    -0.795039   1.830351
 -117  -22   15     80  -80   40    -2.946750   2.040279
 -117  -15  -22     -6 -114   37     0.204689  -0.254141
 -117  -15   22     21 -114   31     1.212966   0.507596
 -117   -6  -26    109  -50    4     0.857550   2.856058
 -117   -6   26     60   90   52     1.647410   1.517090
 -117    6  -26     83   17  -85     0.351860   2.156972
 -117    6   26    -84   48  -71    -1.492989  -2.197532
 -117   15  -22    -47   23  108     0.302682  -1.198617
 -117   15   22     73   -7   95    -0.494417   1.875113
 -117   22  -15     79   40   81    -0.740683   2.029091
 -117   22   15   -108  -37   37     0.203891  -2.842494
 -117   26   -6     38  -36 -108     0.110940   0.968373
 -117   26    6    -73  -85   43    -1.177256  -1.881646
 -116  -29  -10      0   -1 -120    -1.978334  -0.003006
 -116  -29   10      0   96  -72     1.746725   0.013328
 -116  -10  -29    -27  -88   77    -0.752096  -0.670180
 -116  -10   29    109   46  -20     0.248531   2.901304
 -116   10  -29     -3   77  -92    -2.830729  -0.103975
 -116   10   29     49   61  -91    -0.777698   1.254027
 -116   29  -10     22   15 -117     0.374322   0.560725
 -116   29   10    -47  108   23    -0.320245  -1.189950
 -115  -34   -4     27  -26 -114     0.313406   0.658110
 -115  -34    4    -62   88   53     0.577678  -1.555353
 -115   -4  -34    -68  -87   47     1.905537  -1.751455
 -115   -4   34     71   48  -84     0.156396   1.805530
 -115    4  -34     91  -45   64    -0.071188   2.441836
 -115    4   34    -16  112   40    -0.595694  -0.419746
 -115   34   -4    -55  -83  -67    -0.134694  -1.408095
 -115   34    4    -63  -97   32    -0.371606  -1.594774
 -114  -37   -6     28   83  -82    -0.802123   0.703164
 -114  -37    6     77  -62  -68     0.801849   1.934918
 -114  -31  -21    -26  100   61    -1.111189  -0.604743
 -114  -31   21   -107  -12  -53    -1.034418  -2.808296
 -114  -27  -26    -80   89   -9    -0.673951  -2.034269
 -114  -27   26     81  -40  -79     0.533335   2.081276
 -114  -26  -27    -72   36  -89    -1.093430  -1.830458
 -114  -26   27     41   29 -109     0.319531   1.041228
 -114  -21  -31    -84   48  -71    -1.465304  -2.197563
 -114  -21   31   -103   42   45    -0.440794  -2.730887
 -114   -6  -37    109   20   46     0.201354   2.889802
 -114   -6   37      6  108  -52     0.977666   0.250203
 -114    6  -37    -84   84  -17     0.737576  -2.183869
 -114    6   37     88   16  -80    -0.614737   2.353354
 -114   21  -31     -1  -72   96     0.397174  -0.044635
 -114   21   31     67   55   83     0.011750   1.717451
 -114   26  -27    -60   20  102    -0.576649  -1.507540
 -114   26   27     -6  -91  -78    -0.232041  -0.244039
 -114   27  -26    -53  -12 -107    -0.728815  -1.353758
 -114   27   26      4  109   50    -0.406423   0.154138
 -114   31  -21     98   13  -68    -0.181713   2.632438
 -114   31   21    -84   48   71    -0.348980  -2.195934
 -114   37   -6    -85   84   11     0.293608  -2.235998
 -114   37    6     54    6 -107    -2.676289   1.380619
 -113  -30  -27    -31 -114  -21     2.749782  -0.778511
 -113  -30   27     27 -113   30    -0.790205   0.649364
 -113  -27  -30    -24   88   78     0.141471  -0.582972
 -113  -27   30      6  -21 -118    -0.508777   0.219805
 -113   27  -30     35  109   36    -0.455405   0.868679
 -113   27   30    120    0   -1    -1.114476   3.131374
 -113   30  -27    -49 -109   11     1.103032  -1.259877
 -113   30   27    -98  -21   66     0.259638  -2.634987
 -112  -43   -3      5 -102  -63    -1.100860   0.164109
 -112  -43   -2    -88   78   24    -0.808640  -2.328179
 -112  -43    2      7   73  -95    -0.551398   0.268215
 -112  -43    3   -109   36   35    -0.103549  -2.864890
 -112  -40  -16     -1  120   -1    -0.782120  -0.028649
 -112  -40   16    -56  -78   72    -0.053027  -1.426465
 -112  -37  -22   -117   -6   26     0.726924  -3.085052
 -112  -37   22     10   64 -101     1.004043   0.307096
 -112  -22  -37     66   98  -21    -0.101577   1.698507
 -112  -22   37     80  -89    9    -0.687757   2.034272
 -112  -16  -40    -64   96   33     1.285561  -1.602979
 -112  -16   40     53  -12 -107    -0.108965   1.350662
 -112   -3  -43      6   69   98    -1.615850   0.238413
 -112   -3   43    -67  -83  -55    -1.634126  -1.719707
 -112   -2  -43     64  -57  -84    -0.873191   1.610878
