  2214 vectors
   kx   ky   kz     ex   ey   ez        rk        phik
  -30   -2   -1     24    0   18     0.147312   2.500178
  -30   -2    0      3  -23  -19    -1.273956   0.365990
  -30   -2    1     16    5  -25     1.328094   1.677170
  -30   -1   -2      5  -14   26    -0.237652   0.559836
  -30   -1   -1    -26  -15    2    -0.906046  -2.762603
  -30   -1    0     28   11   -1     2.547122   2.972651
  -30   -1    1    -28    7    8    -0.909852  -2.903528
  -30   -1    2    -17   13   21     0.478123  -1.771496
  -30    0   -2    -21  -20   -8    -0.375762  -2.246908
  -30    0   -1     29    4   -7     0.456295   3.045477
  -30    0    0     24   -6   17    -0.496401   2.481256
  -30    0    1     27   -2  -13     0.677827   2.812673
  -30    0    2     18    2  -24    -0.640487   1.910583
  -30    1   -2    -20  -10  -20     0.462273  -2.133865
  -30    1   -1    -17  -21  -13    -1.090310  -1.833147
  -30    1    0     19  -10  -21    -0.417601   1.998869
  -30    1    1    -24    1   18    -0.826278  -2.489924
  -30    1    2     15   -7  -25    -0.960518   1.514981
  -30    2   -1    -29   -6    5     0.053823  -3.057096
  -30    2    0    -24  -16   -8     0.472671  -2.538306
  -30    2    1     11   28   -1    -0.335547   1.212459
  -29   -8   -1    -29    7   -3     0.587557  -2.996485
  -29   -8    0    -19   10   21    -0.070593  -1.999982
  -29   -8    1    -26   15    2     1.229577  -2.652793
  -29   -7   -4    -14  -25    9     0.309778  -1.449962
  -29   -7   -3    -13    2  -27     0.132451  -1.340869
  -29   -7    3     14   25    9     0.082463   1.451180
  -29   -7    4     14    5   26     0.443002   1.430206
  -29   -6   -5    -14   -9   25     0.065845  -1.431318
  -29   -6    5     -1   27  -13    -0.674289  -0.113537
  -29   -5   -6      1   30   -2    -0.728353   0.241907
  -29   -5    6    -20   20  -10    -2.059181  -2.086136
  -29   -4   -7     27   13    1     1.182843   2.872037
  -29   -4    7     13   -2   27     0.737637   1.340350
  -29   -3   -7      1  -30   -2    -1.696035   0.085255
  -29   -3    7     17   21  -13    -0.795039   1.830351
  -29   -1   -8     19   16  -17    -2.946750   2.040279
  -29   -1    8     -1  -30   -2     0.204689  -0.254141
  -29    0   -8      4   23  -19     1.212966   0.507596
  -29    0    8     27   11    7     0.857550   2.856058
  -29    1   -8     15   -7   25     1.647410   1.517090
  -29    1    8     20   22   -4     0.351860   2.156972
  -29    3   -7    -21    8   20    -1.492989  -2.197532
  -29    3    7    -11  -23  -16     0.302682  -1.198617
  -29    4   -7     18  -17   17    -0.494417   1.875113
  -29    4    7     19   10  -21    -0.740683   2.029091
  -29    5   -6    -27   -5   12     0.203891  -2.842494
  -29    5    6      9   -6   28     0.110940   0.968373
  -29    6   -5    -18    7   23    -1.177256  -1.881646
  -29    6    5      0   -1   30    -1.978334  -0.003006
  -29    7   -4      0    2   30     1.746725   0.013328
  -29    7   -3     -6  -24   17    -0.752096  -0.670180
  -29    7    3     28   -8    7     0.248531   2.901304
  -29    7    4     -1   29   -8    -2.830729  -0.103975
  -29    8   -1     12  -15   23    -0.777698   1.254027
  -29    8    0      5  -14   26     0.374322   0.560725
  -29    8    1    -11  -16   23    -0.320245  -1.189950
  -28  -11   -1      6    5   29     0.313406   0.658110
  -28  -11    0    -15  -10  -24     0.577678  -1.555353
  -28  -11    1    -17   19  -16     1.905537  -1.751455
  -28  -10   -4     17   16  -19     0.156396   1.805530
  -28  -10    4     24  -18    0    -0.071188   2.441836
  -28   -9   -6     -4   25  -16    -0.595694  -0.419746
  -28   -9    6    -14   15   22    -0.134694  -1.408095
  -28   -8   -7    -15  -26    2    -0.371606  -1.594774
  -28   -8    7      7  -28    8    -0.802123   0.703164
  -28   -7   -8     18   18  -16     0.801849   1.934918
  -28   -7    8     -5  -26  -14    -1.111189  -0.604743
  -28   -6   -9    -27    5   12    -1.034418  -2.808296
  -28   -6    9    -19  -12   20    -0.673951  -2.034269
  -28   -4  -10     20  -21    8     0.533335   2.081276
  -28   -4   10    -17  -21   13    -1.093430  -1.830458
  -28   -1  -11     10  -20  -20     0.319531   1.041228
  -28   -1   11    -21    8   20    -1.465304  -2.197563
  -28    0  -11    -26   -5  -14    -0.440794  -2.730887
  -28    0   11     28  -10    4     0.201354   2.889802
  -28    1  -11      1   30    1     0.977666   0.250203
  -28    1   11    -21   17  -13     0.737576  -2.183869
  -28    4  -10     23   -7   18    -0.614737   2.353354
  -28    4   10      0  -24   18     0.397174  -0.044635
  -28    6   -9     16   24    8     0.011750   1.717451
  -28    6    9    -15   10   24    -0.576649  -1.507540
  -28    7   -8     -1  -30    2    -0.232041  -0.244039
  -28    7    8    -13   -1   27    -0.728815  -1.353758
  -28    8   -7      1   -8   29    -0.406423   0.154138
  -28    8    7     25   14    9    -0.181713   2.632438
  -28    9   -6    -21   10  -19    -0.348980  -2.195934
  -28    9    6    -21  -17  -13     0.293608  -2.235998
  -28   10   -4     13   27   -1    -2.676289   1.380619
  -28   10    4     -7  -15   25     2.749782  -0.778511
  -28   11   -1      6   -5  -29    -0.790205   0.649364
  -28   11    0     -5  -12  -27     0.141471  -0.582972
  -28   11    1      1   26  -15    -0.508777   0.219805
  -27  -13   -2      8   -1   29    -0.455405   0.868679
  -27  -13   -1     30    1    2    -1.114476   3.131374
  -27  -13    0    -12    9  -26     1.103032  -1.259877
  -27  -13    1    -25  -15    7     0.259638  -2.634987
  -27  -13    2      1   -1  -30    -1.100860   0.164109
  -27  -12   -5    -23   15   12    -0.808640  -2.328179
  -27  -12    5      2  -27   13    -0.551398   0.268215
  -27  -11   -7    -27  -13    2    -0.103549  -2.864890
  -27  -11    7      0  -13  -27    -0.782120  -0.028649
  -27   -7  -11    -14   -5   26    -0.053027  -1.426465
  -27   -7   11    -30    2    0     0.726924  -3.085052
  -27   -5  -12      2    0   30     1.004043   0.307096
  -27   -5   12     16   18  -18    -0.101577   1.698507
  -27   -2  -13     19   12  -20    -0.687757   2.034272
  -27   -2   13    -15  -26   -1     1.285561  -1.602979
  -27   -1  -13     13    0  -27    -0.108965   1.350662
  -27   -1   13      1   29    8    -1.615850   0.238413
  -27    0  -13    -16  -24   -8    -1.634126  -1.719707
  -27    0   13     16  -25   -4    -0.873191   1.610878
  -27    1  -13     -4   -7  -29    -1.625573  -0.468353
  -27    1   13     -2    0  -30     0.495967  -0.307843
  -27    2  -13    -16   25   -5     1.220949  -1.615534
  -27    2   13     23   16  -11    -0.824602   2.408253
  -27    5  -12     22   -4  -20    -1.125167   2.272233
  -27    5   12     -6  -29    5    -0.047825  -0.683097
  -27    7  -11      9   28   -6     0.691502   1.011417
  -27    7   11     10   15   24     0.111057   1.082043
  -27   11   -7     -5    6   29    -1.672385  -0.570394
  -27   11    7      6  -29    5     1.133172   0.623742
