   762 vectors
   kx   ky   kz     ex   ey   ez        rk        phik
   -8   -2   -2      6    5    0     0.147312   2.500178
   -8   -2   -1      1   -1    8    -1.273956   0.365990
   -8   -2    0      4    5   -5     1.328094   1.677170
   -8   -2    1      2   -8   -2    -0.237652   0.559836
   -8   -2    2     -7   -1    4    -0.906046  -2.762603
   -8   -1   -2      8   -1   -2     2.547122   2.972651
   -8   -1   -1     -7   -4    2    -0.909852  -2.903528
   -8   -1    0     -4   -7   -1     0.478123  -1.771496
   -8   -1    1     -6    5   -3    -0.375762  -2.246908
   -8   -1    2      8    0    1     0.456295   3.045477
   -8    0   -2      6    5   -2    -0.496401   2.481256
   -8    0   -1      7    2    2     0.677827   2.812673
   -8    0    0      5   -3   -5    -0.640487   1.910583
   -8    0    1     -5   -6    2     0.462273  -2.133865
   -8    0    2     -5    6   -2    -1.090310  -1.833147
   -8    1   -2      5    1    6    -0.417601   1.998869
   -8    1   -1     -6   -5    2    -0.826278  -2.489924
   -8    1    0      4   -4    6    -0.960518   1.514981
   -8    1    1     -8    0   -2     0.053823  -3.057096
   -8    1    2     -6   -6    0     0.472671  -2.538306
   -8    2   -2      3    2   -7    -0.335547   1.212459
   -8    2   -1     -8    1    1     0.587557  -2.996485
   -8    2    0     -5   -1   -6    -0.070593  -1.999982
   -8    2    1     -7    2    3     1.229577  -2.652793
   -8    2    2     -4    6   -3     0.309778  -1.449962
   -7   -4   -2     -3   -7    2     0.132451  -1.340869
   -7   -4   -1      4   -6    4     0.082463   1.451180
   -7   -4    0      4   -6   -4     0.443002   1.430206
   -7   -4    1     -4    6    4     0.065845  -1.431318
   -7   -4    2      0   -6   -5    -0.674289  -0.113537
   -7   -3   -3      1   -7   -4    -0.728353   0.241907
   -7   -3   -2     -5   -4   -5    -2.059181  -2.086136
   -7   -3   -1     -7    3    1     1.182843   2.872037
   -7   -3    0      3    7   -1     0.737637   1.340350
   -7   -3    1      0    5    6    -1.696035   0.085255
   -7   -3    2      5   -6    3    -0.795039   1.830351
   -7   -3    3      5    3    5    -2.946750   2.040279
   -7   -2   -4     -1    7    3     0.204689  -0.254141
   -7   -2   -3      1    7    4     1.212966   0.507596
   -7   -2   -2      7    3   -1     0.857550   2.856058
   -7   -2    2      4   -4    6     1.647410   1.517090
   -7   -2    3      5    6    2     0.351860   2.156972
   -7   -2    4     -6    5    2    -1.492989  -2.197532
   -7   -1   -4     -3    0   -7     0.302682  -1.198617
   -7   -1   -3      5   -4   -5    -0.494417   1.875113
   -7   -1    3      5    3   -5    -0.740683   2.029091
   -7   -1    4     -7   -3    3     0.203891  -2.842494
   -7    0   -4      2    8    0     0.110940   0.968373
   -7    0   -3     -5    4    5    -1.177256  -1.881646
   -7    0    3      0    0    8    -1.978334  -0.003006
   -7    0    4      0    1    8     1.746725   0.013328
   -7    1   -4     -2    6   -5    -0.752096  -0.670180
   -7    1   -3      7    4   -1     0.248531   2.901304
   -7    1    3      0   -6    5    -2.830729  -0.103975
   -7    1    4      3    4    6    -0.777698   1.254027
   -7    2   -4      2   -8   -2     0.374322   0.560725
   -7    2   -3     -3    0    7    -0.320245  -1.189950
   -7    2   -2      2   -6    5     0.313406   0.658110
   -7    2    2     -4    2   -7     0.577678  -1.555353
   -7    2    3     -4   -7    2     1.905537  -1.751455
   -7    2    4      5   -6    0     0.156396   1.805530
   -7    3   -3      6    4   -4    -0.071188   2.441836
   -7    3   -2     -1   -2   -8    -0.595694  -0.419746
   -7    3   -1     -4    7    0    -0.134694  -1.408095
   -7    3    0     -4    0   -7    -0.371606  -1.594774
   -7    3    1      2   -3   -7    -0.802123   0.703164
   -7    3    2      5   -2   -6     0.801849   1.934918
   -7    3    3     -2    8   -2    -1.111189  -0.604743
   -7    4   -2     -7   -2    2    -1.034418  -2.808296
   -7    4   -1     -5   -3    5    -0.673951  -2.034269
   -7    4    0      5    4    5     0.533335   2.081276
   -7    4    1     -5    6   -2    -1.093430  -1.830458
   -7    4    2      3   -7    3     0.319531   1.041228
   -6   -6    0     -6    5    2    -1.465304  -2.197563
   -6   -5   -3     -7    0    4    -0.440794  -2.730887
   -6   -5   -2      7    3    3     0.201354   2.889802
   -6   -5   -1      1   -7   -3     0.977666   0.250203
   -6   -5    0     -6    6    0     0.737576  -2.183869
   -6   -5    1      6    0   -5    -0.614737   2.353354
   -6   -5    2      0   -2   -8     0.397174  -0.044635
   -6   -5    3      4    6   -3     0.011750   1.717451
   -6   -4   -4     -4    4    5    -0.576649  -1.507540
   -6   -4   -3     -1    7    4    -0.232041  -0.244039
   -6   -4    3     -3   -7    1    -0.728815  -1.353758
   -6   -4    4      0    8   -2    -0.406423   0.154138
   -6   -3   -5      7   -3    3    -0.181713   2.632438
   -6   -3   -4     -6    5    3    -0.348980  -2.195934
   -6   -3    4     -6    5   -2     0.293608  -2.235998
   -6   -3    5      3    7    3    -2.676289   1.380619
   -6   -2   -5     -2    0    8     2.749782  -0.778511
   -6   -2    5      2   -6   -5    -0.790205   0.649364
   -6   -1   -5     -2    8    0     0.141471  -0.582972
   -6   -1    5      1   -8    1    -0.508777   0.219805
   -6    0   -6      2    5   -6    -0.455405   0.868679
