# t                      e_kin                    helicity                   |helicity|               enstrophy                enstrophy_rest
0.000000000000000000e+00 2.346378661321506520e-01 -2.130136733669019122e-08 1.432053184392242073e+01 3.212859943393280848e-01 7.017236291045117014e+01
5.001780319213867188e+01 2.028817453686788119e-01 8.738424270332112442e-03 2.791936093851145628e+01 2.701536108069076403e-01 7.012112932441576163e+01
1.000028839111328125e+02 1.771855435150727631e-01 1.533787976886302751e-03 3.567583234565175587e+01 2.144747956864694050e-01 7.006544237024807842e+01
1.500143432617187500e+02 1.563296957402878218e-01 -4.094294428324152246e-03 3.681183342274914594e+01 1.778376819031041445e-01 7.002814333662416857e+01
2.000202636718750000e+02 1.407319330250419998e-01 5.535547289303721641e-05 3.717514498316665339e+01 1.481452647007354129e-01 6.999837345105963493e+01
2.500008544921875000e+02 1.270795227572497077e-01 1.042045710776484668e-03 3.353068106029847684e+01 1.228961964328675605e-01 6.997257215814772735e+01
3.000058288574218750e+02 1.172434739196133169e-01 2.413958112401082268e-04 3.407100111301267020e+01 1.051702203643879868e-01 6.995482606848440810e+01
3.500224914550781250e+02 1.077580239373286952e-01 -2.349791840878467930e-03 3.041629718704335517e+01 8.989493346581509114e-02 6.993853666509181721e+01
4.000154113769531250e+02 9.897043628748779243e-02 -9.274185062121409473e-04 2.718068541756687750e+01 7.751480950985535634e-02 6.992493826243932631e+01
4.500144348144531250e+02 9.186890746853365597e-02 4.569119800599263925e-03 2.739402035089844389e+01 6.927349890543335609e-02 6.991776933645297731e+01
5.000004577636718750e+02 8.504982111126650757e-02 1.409361680717646781e-03 2.441565021683964432e+01 6.062878774903724538e-02 6.990792144660532870e+01
5.500173339843750000e+02 7.884850487235223193e-02 -3.608496535090637697e-03 2.433143790660239603e+01 5.489816509900859176e-02 6.990335004092527527e+01
6.000010375976562500e+02 7.326410438866702568e-02 7.622398086946535756e-03 2.403439172306704208e+01 4.890813412363136797e-02 6.989690671623731077e+01
6.500225830078125000e+02 6.847264687178797327e-02 2.756069161437724180e-03 2.315576218166243194e+01 4.393121200866423326e-02 6.989158659946673424e+01
7.000028076171875000e+02 6.497764742520645287e-02 5.104024712022106613e-03 1.721404204894175294e+01 3.998788561522043095e-02 6.988820115445294334e+01
7.500133666992187500e+02 6.203326640642492507e-02 1.223567109925099983e-02 2.039337389546584234e+01 3.607696422572868877e-02 6.988383419037921840e+01
8.000076904296875000e+02 5.923123006783222178e-02 1.264357955929185096e-02 1.752115859121646224e+01 3.306584410206099556e-02 6.988100131665915171e+01
8.500082397460937500e+02 5.596244562499459035e-02 3.247682958599451553e-03 1.818790089418777001e+01 3.044437159707110568e-02 6.987876327676715960e+01
9.000106201171875000e+02 5.190410705538113512e-02 3.995464561250341995e-03 1.604729718286299800e+01 2.778825592317414606e-02 6.987615850238923088e+01
9.500121459960937500e+02 4.813328665253789607e-02 4.820872755667560128e-03 1.669164014890177583e+01 2.553622159733590080e-02 6.987402227607960015e+01
1.000006042480468750e+03 4.566979816091039368e-02 7.339106027547059874e-03 1.458527500003869193e+01 2.368291020757923998e-02 6.987179199051918488e+01
1.050009521484375000e+03 4.353546060661753897e-02 4.741223912315128963e-03 1.557786724055383765e+01 2.195082262971802603e-02 6.986990158098602421e+01
1.100005615234375000e+03 4.285529062308666981e-02 5.267680716866035562e-03 1.549200947412489882e+01 2.055800914519401515e-02 6.986900599431626802e+01
1.150009521484375000e+03 4.157611829761719002e-02 3.509991365088088733e-03 1.466828951313987162e+01 1.908298306233800062e-02 6.986754857462901214e+01
1.200020263671875000e+03 3.964795008326246761e-02 1.001861942672355177e-02 1.293039073269785000e+01 1.777739014459519401e-02 6.986654112577870990e+01
1.250010009765625000e+03 3.771319399376622111e-02 7.011405911111934230e-03 1.209350993214981251e+01 1.647416254599265786e-02 6.986489896749925776e+01
1.300003051757812500e+03 3.507348384867459146e-02 4.571689262231837247e-03 1.195752448520950395e+01 1.556160452992578526e-02 6.986426736095758372e+01
1.350021118164062500e+03 3.331225600734387393e-02 2.371618301555411534e-03 1.140238205012339989e+01 1.455043610869833151e-02 6.986346470216793136e+01
1.400008178710937500e+03 3.175441739686163389e-02 3.701759168370344355e-03 1.227169933845900118e+01 1.366116521788526481e-02 6.986233446052980867e+01
1.450016845703125000e+03 3.027482639192635369e-02 4.509259807382204333e-03 1.030340882758305199e+01 1.276469614444911485e-02 6.986165895376961998e+01
1.500015502929687500e+03 2.993348282174581459e-02 6.855449098129295926e-03 1.132890705016762922e+01 1.205202290456045683e-02 6.986094385667246343e+01
1.550010131835937500e+03 2.907888559034036563e-02 7.752193902444498574e-03 8.761317978924335392e+00 1.112470333406032422e-02 6.985997044421688429e+01
1.600016113281250000e+03 2.889832031267593887e-02 4.367680767982329293e-03 1.142116956494104585e+01 1.079140571651761478e-02 6.985978412908178825e+01
1.650016113281250000e+03 2.746221320825579376e-02 2.685563873137897239e-03 1.035895823551942918e+01 9.984468640864094247e-03 6.985857316836450082e+01
1.700016601562500000e+03 2.590493463572574387e-02 5.849095337891074831e-03 1.173839548141574696e+01 9.654334674881730888e-03 6.985847376336862169e+01
1.750021972656250000e+03 2.378801847400986019e-02 1.010997636280247525e-02 8.983227043482829188e+00 8.997346470249589084e-03 6.985802768369057958e+01
1.800005859375000000e+03 2.266134766570850056e-02 4.406561526681951335e-03 8.560989147166441882e+00 8.426223348744137781e-03 6.985730481796605318e+01
1.850013183593750000e+03 2.197974086246330672e-02 2.001045803294854153e-03 7.836299024411275127e+00 8.124746107654540195e-03 6.985705839275655649e+01
